customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7263-CASBF,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),103.3,4898.1,No
6776-YNWRV,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.45,121.11,Yes
3012-MPWLQ,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),72.92,4816.0,No
9794-JTPRM,Male,0,No,No,52,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Mailed check,98.65,5038.72,No
3460-NFVTH,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,91.44,6235.78,No
7223-DCOOR,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.94,54.89,No
9490-JCALW,Female,0,Yes,Yes,61,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),81.14,5136.19,No
9053-CPWYK,Male,0,No,No,69,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),82.76,5864.83,No
3329-DKCKC,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,113.01,114.58,Yes
8404-BLJLK,Female,0,No,No,72,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),67.28,4755.2,No
8256-MVWDA,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,97.77,1334.47,Yes
8687-MBSVJ,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),113.93,912.41,Yes
3160-ZDWMP,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,98.48,2174.24,No
1592-VGTHH,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,59.45,59.05,Yes
1667-AUIWQ,Female,0,No,No,69,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,93.21,6504.49,No
